cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2023-01,1.0,0.2621,0.2887,0.2773,0.2711,0.2712,0.2887,0.2735,0.2686,0.2963,0.2865,0.2844
2023-02,1.0,0.2856,0.2984,0.2951,0.273,0.2809,0.2774,0.2714,0.2765,0.2725,0.2883,0.2905
2023-03,1.0,0.2655,0.2921,0.2665,0.2748,0.2808,0.2645,0.2815,0.2745,0.2712,0.2805,0.2582
2023-04,1.0,0.293,0.2763,0.2734,0.2719,0.2788,0.2856,0.2738,0.2729,0.2783,0.2517,0.2861
2023-05,1.0,0.2686,0.2679,0.279,0.266,0.2829,0.2692,0.2868,0.281,0.2738,0.2907,0.2738
2023-06,1.0,0.2875,0.2639,0.2921,0.2921,0.2611,0.2848,0.2548,0.2884,0.2539,0.2657,0.2894
2023-07,1.0,0.2993,0.2722,0.2869,0.2611,0.2759,0.2956,0.2808,0.2919,0.2906,0.2734,0.2943
2023-08,1.0,0.314,0.3028,0.2804,0.2636,0.2897,0.2748,0.2879,0.2673,0.2729,0.3028,
2023-09,1.0,0.2957,0.2754,0.2844,0.2551,0.2686,0.3115,0.2957,0.2777,0.2619,,
2023-10,1.0,0.2485,0.2853,0.3252,0.2761,0.2975,0.2791,0.3252,0.2393,,,
2023-11,1.0,0.2536,0.2297,0.2823,0.1962,0.2967,0.2536,0.2536,,,,
2023-12,1.0,0.3046,0.2781,0.3113,0.3444,0.3113,0.2781,,,,,
2024-01,1.0,0.2358,0.2114,0.2683,0.2764,0.2683,,,,,,
2024-02,1.0,0.2469,0.2716,0.284,0.3086,,,,,,,
2024-03,1.0,0.2241,0.2931,0.1724,,,,,,,,
2024-04,1.0,0.3548,0.2258,,,,,,,,,
2024-05,1.0,0.4,,,,,,,,,,
2024-06,1.0,,,,,,,,,,,
