payment_id,order_id,seller_id,expected_payout,actual_payout,discrepancy_flag,discrepancy_amt,settlement_date,settlement_cycle,status,discrepancy_pct,discrepancy_severity,risk_score,severity_tier
PAY000019290,ORD000024702,S00437,102056.55,57885.4,1,44171.15,2023-07-01 13:11:00,W26,disputed,43.28,critical,0.8886,Critical (>30%)
PAY000062718,ORD000080260,S00364,69758.78,34044.34,1,35714.44,2023-11-04 17:45:00,W44,disputed,51.2,critical,0.8265,Critical (>30%)
PAY000068847,ORD000088079,S00474,46967.9,21263.39,1,25704.51,2023-07-26 01:07:00,W30,disputed,54.73,critical,0.7141,Critical (>30%)
PAY000073435,ORD000093984,S00489,48173.57,23909.38,1,24264.19,2024-02-15 11:48:00,W7,disputed,50.37,critical,0.6654,Critical (>30%)
PAY000111263,ORD000142444,S00151,38178.8,19030.8,1,19148.0,2023-03-22 21:06:00,W12,disputed,50.15,critical,0.5945,Critical (>30%)
PAY000074180,ORD000094923,S00327,28619.21,12565.45,1,16053.76,2023-07-18 10:01:00,W29,disputed,56.09,critical,0.5921,Critical (>30%)
PAY000055451,ORD000070968,S00361,70501.43,46127.95,1,24373.48,2023-04-14 06:50:00,W15,disputed,34.57,critical,0.5616,Critical (>30%)
PAY000067085,ORD000085850,S00252,19334.44,7894.19,1,11440.25,2023-07-05 01:57:00,W27,disputed,59.17,critical,0.5499,Critical (>30%)
PAY000102574,ORD000131284,S00119,24158.82,11034.8,1,13124.02,2023-02-03 17:50:00,W5,disputed,54.32,critical,0.5405,Critical (>30%)
PAY000042733,ORD000054681,S00447,17512.88,7412.79,1,10100.09,2023-05-16 05:39:00,W20,disputed,57.67,critical,0.5217,Critical (>30%)
PAY000064087,ORD000082011,S00425,18758.82,8191.65,1,10567.17,2023-08-25 18:50:00,W34,disputed,56.33,critical,0.5191,Critical (>30%)
PAY000076073,ORD000097360,S00464,15540.05,6645.8,1,8894.25,2023-07-17 14:16:00,W29,disputed,57.23,critical,0.5024,Critical (>30%)
PAY000035256,ORD000045176,S00157,12999.07,5256.49,1,7742.58,2024-05-17 23:05:00,W20,disputed,59.56,critical,0.5023,Critical (>30%)
PAY000067006,ORD000085749,S00459,17465.26,7795.87,1,9669.39,2023-06-13 07:52:00,W24,disputed,55.36,critical,0.5005,Critical (>30%)
PAY000084397,ORD000108046,S00057,12897.54,5255.29,1,7642.25,2023-08-27 23:08:00,W34,disputed,59.25,critical,0.4989,Critical (>30%)
PAY000021415,ORD000027403,S00164,14114.62,5918.85,1,8195.77,2023-02-15 12:41:00,W7,disputed,58.07,critical,0.4985,Critical (>30%)
PAY000089823,ORD000114959,S00325,12376.19,5063.06,1,7313.13,2023-08-16 04:00:00,W33,disputed,59.09,critical,0.4933,Critical (>30%)
PAY000061238,ORD000078363,S00460,12032.29,4943.69,1,7088.6,2023-10-13 10:30:00,W41,disputed,58.91,critical,0.4891,Critical (>30%)
PAY000019287,ORD000024699,S00371,15637.12,6970.59,1,8666.53,2023-05-15 12:47:00,W20,disputed,55.42,critical,0.4873,Critical (>30%)
PAY000080207,ORD000102709,S00268,24644.26,12674.28,1,11969.98,2023-06-29 11:16:00,W26,disputed,48.57,critical,0.4864,Critical (>30%)
PAY000059332,ORD000075923,S00216,37399.37,22227.06,1,15172.31,2023-05-02 21:55:00,W18,disputed,40.57,critical,0.4766,Critical (>30%)
PAY000007466,ORD000009579,S00261,10635.21,4399.15,1,6236.06,2023-04-26 22:30:00,W17,disputed,58.64,critical,0.4757,Critical (>30%)
PAY000079397,ORD000101635,S00337,11644.84,4953.66,1,6691.18,2024-01-03 18:47:00,W1,disputed,57.46,critical,0.474,Critical (>30%)
PAY000083462,ORD000106847,S00413,10791.12,4511.41,1,6279.71,2023-05-12 08:50:00,W19,disputed,58.19,critical,0.4733,Critical (>30%)
PAY000027910,ORD000035775,S00484,16072.82,7503.65,1,8569.17,2023-07-18 07:18:00,W29,disputed,53.31,critical,0.4719,Critical (>30%)
PAY000089847,ORD000114990,S00016,9268.16,3769.78,1,5498.38,2024-04-24 18:18:00,W17,disputed,59.33,critical,0.4703,Critical (>30%)
PAY000084838,ORD000108603,S00238,15781.29,7409.58,1,8371.71,2024-07-01 10:43:00,W27,disputed,53.05,critical,0.4674,Critical (>30%)
PAY000099189,ORD000126993,S00329,10277.31,4323.7,1,5953.61,2023-08-17 04:14:00,W33,disputed,57.93,critical,0.4671,Critical (>30%)
PAY000057433,ORD000073485,S00341,44696.29,28345.25,1,16351.04,2023-05-19 11:35:00,W20,disputed,36.58,critical,0.466,Critical (>30%)
PAY000074242,ORD000095009,S00277,15868.31,7508.73,1,8359.58,2023-11-22 13:42:00,W47,disputed,52.68,critical,0.4648,Critical (>30%)
PAY000112998,ORD000144633,S00004,9619.63,4017.28,1,5602.35,2023-08-07 07:15:00,W32,disputed,58.24,critical,0.4644,Critical (>30%)
PAY000074950,ORD000095908,S00139,10508.85,4482.19,1,6026.66,2024-07-09 07:26:00,W28,disputed,57.35,critical,0.4643,Critical (>30%)
PAY000083208,ORD000106513,S00227,22541.93,11813.73,1,10728.2,2024-03-14 13:28:00,W11,disputed,47.59,critical,0.463,Critical (>30%)
PAY000022408,ORD000028675,S00117,21712.28,11269.51,1,10442.77,2023-09-28 05:24:00,W39,disputed,48.1,critical,0.4626,Critical (>30%)
PAY000094717,ORD000121268,S00029,48925.55,31958.06,1,16967.49,2023-09-07 13:44:00,W36,disputed,34.68,critical,0.4617,Critical (>30%)
PAY000056154,ORD000071853,S00217,8861.64,3706.19,1,5155.45,2023-12-09 16:55:00,W49,disputed,58.18,critical,0.458,Critical (>30%)
PAY000105701,ORD000135275,S00198,7099.25,2848.02,1,4251.23,2024-02-06 22:27:00,W6,disputed,59.88,critical,0.457,Critical (>30%)
PAY000102133,ORD000130718,S00415,7854.55,3231.79,1,4622.76,2024-04-27 09:01:00,W17,disputed,58.85,critical,0.4552,Critical (>30%)
PAY000068491,ORD000087605,S00194,11507.86,5196.33,1,6311.53,2024-02-07 11:22:00,W6,disputed,54.85,critical,0.4515,Critical (>30%)
PAY000029435,ORD000037723,S00052,22220.08,11897.48,1,10322.6,2023-10-22 02:51:00,W42,disputed,46.46,critical,0.45,Critical (>30%)
PAY000038911,ORD000049871,S00289,7677.47,3200.35,1,4477.12,2024-02-16 10:39:00,W7,disputed,58.32,critical,0.4497,Critical (>30%)
PAY000110835,ORD000141886,S00436,13770.1,6561.95,1,7208.15,2024-02-02 14:27:00,W5,disputed,52.35,critical,0.447,Critical (>30%)
PAY000092122,ORD000117905,S00473,6502.46,2658.4,1,3844.06,2023-04-28 16:54:00,W17,disputed,59.12,critical,0.4464,Critical (>30%)
PAY000028418,ORD000036419,S00486,12207.82,5677.9,1,6529.92,2023-04-02 04:26:00,W13,disputed,53.49,critical,0.4454,Critical (>30%)
PAY000069548,ORD000088946,S00146,12864.43,6064.01,1,6800.42,2024-04-26 09:56:00,W17,disputed,52.86,critical,0.4448,Critical (>30%)
PAY000006660,ORD000008541,S00262,5055.3,2022.6,1,3032.7,2024-03-15 08:48:00,W11,disputed,59.99,critical,0.4412,Critical (>30%)
PAY000054735,ORD000070071,S00463,13528.17,6511.8,1,7016.37,2023-03-30 13:38:00,W13,disputed,51.86,critical,0.4411,Critical (>30%)
PAY000029554,ORD000037865,S00081,5265.59,2123.98,1,3141.61,2024-05-17 14:34:00,W20,disputed,59.66,critical,0.4405,Critical (>30%)
PAY000051017,ORD000065323,S00106,5996.89,2475.71,1,3521.18,2023-08-16 10:21:00,W33,disputed,58.72,critical,0.4394,Critical (>30%)
PAY000067550,ORD000086433,S00102,5764.31,2382.87,1,3381.44,2024-03-06 17:23:00,W10,disputed,58.66,critical,0.4371,Critical (>30%)
PAY000025551,ORD000032738,S00072,6036.21,2521.57,1,3514.64,2023-11-13 09:32:00,W46,disputed,58.23,critical,0.436,Critical (>30%)
PAY000096398,ORD000123424,S00333,5083.2,2074.26,1,3008.94,2023-09-18 14:58:00,W38,disputed,59.19,critical,0.4355,Critical (>30%)
PAY000087417,ORD000111895,S00158,8599.73,3821.17,1,4778.56,2023-03-26 06:10:00,W12,disputed,55.57,critical,0.4354,Critical (>30%)
PAY000101468,ORD000129886,S00441,10388.12,4796.58,1,5591.54,2023-02-19 23:08:00,W7,disputed,53.83,critical,0.4349,Critical (>30%)
PAY000095463,ORD000122206,S00208,11597.25,5481.55,1,6115.7,2024-04-23 11:49:00,W17,disputed,52.73,critical,0.4347,Critical (>30%)
PAY000045684,ORD000058505,S00352,4288.86,1718.96,1,2569.9,2024-02-01 19:08:00,W5,disputed,59.92,critical,0.4344,Critical (>30%)
PAY000081780,ORD000104702,S00446,5544.02,2305.55,1,3238.47,2023-04-23 23:09:00,W16,disputed,58.41,critical,0.4335,Critical (>30%)
PAY000021688,ORD000027778,S00315,4741.46,1936.71,1,2804.75,2023-07-28 08:32:00,W30,disputed,59.15,critical,0.4325,Critical (>30%)
PAY000116538,ORD000149196,S00024,4706.33,1925.55,1,2780.78,2023-06-11 01:17:00,W23,disputed,59.09,critical,0.4318,Critical (>30%)
PAY000028295,ORD000036259,S00129,6671.62,2878.96,1,3792.66,2023-06-21 18:51:00,W25,disputed,56.85,critical,0.4306,Critical (>30%)
PAY000064007,ORD000081906,S00139,3739.22,1497.4,1,2241.82,2023-12-18 19:42:00,W51,disputed,59.95,critical,0.4302,Critical (>30%)
PAY000082757,ORD000105941,S00379,6455.85,2774.57,1,3681.28,2023-02-26 20:02:00,W8,disputed,57.02,critical,0.4302,Critical (>30%)
PAY000013316,ORD000017033,S00246,17412.62,9139.78,1,8272.84,2023-07-03 17:50:00,W27,disputed,47.51,critical,0.4292,Critical (>30%)
PAY000097805,ORD000125245,S00070,5952.03,2540.59,1,3411.44,2024-03-23 18:42:00,W12,disputed,57.32,critical,0.4285,Critical (>30%)
PAY000109891,ORD000140667,S00285,5019.31,2097.92,1,2921.39,2023-03-21 15:54:00,W12,disputed,58.2,critical,0.4277,Critical (>30%)
PAY000052837,ORD000067621,S00072,10264.41,4825.98,1,5438.43,2023-09-28 13:31:00,W39,disputed,52.98,critical,0.4271,Critical (>30%)
PAY000073804,ORD000094453,S00402,12678.83,6227.69,1,6451.14,2023-09-27 11:03:00,W39,disputed,50.88,critical,0.4269,Critical (>30%)
PAY000059396,ORD000076012,S00457,3431.02,1381.96,1,2049.06,2023-08-28 09:24:00,W35,disputed,59.72,critical,0.426,Critical (>30%)
PAY000082520,ORD000105632,S00325,13086.43,6486.32,1,6600.11,2023-02-27 06:54:00,W9,disputed,50.43,critical,0.4259,Critical (>30%)
PAY000115577,ORD000147955,S00212,10850.17,5178.5,1,5671.67,2023-03-05 07:18:00,W9,disputed,52.27,critical,0.4256,Critical (>30%)
PAY000010480,ORD000013411,S00142,17116.05,9027.51,1,8088.54,2023-05-21 08:10:00,W20,disputed,47.26,critical,0.425,Critical (>30%)
PAY000096022,ORD000122947,S00435,3460.46,1400.7,1,2059.76,2024-04-16 05:50:00,W16,disputed,59.52,critical,0.4248,Critical (>30%)
PAY000013960,ORD000017888,S00094,3923.49,1615.47,1,2308.02,2023-05-14 01:11:00,W19,disputed,58.83,critical,0.4236,Critical (>30%)
PAY000072092,ORD000092244,S00483,3329.73,1349.03,1,1980.7,2024-01-12 01:07:00,W2,disputed,59.49,critical,0.4236,Critical (>30%)
PAY000103334,ORD000132260,S00023,11430.62,5544.82,1,5885.8,2024-03-09 11:36:00,W10,disputed,51.49,critical,0.4233,Critical (>30%)
PAY000019444,ORD000024909,S00271,4741.31,1997.62,1,2743.69,2023-09-16 21:58:00,W37,disputed,57.87,critical,0.4231,Critical (>30%)
PAY000076447,ORD000097839,S00141,5540.32,2383.91,1,3156.41,2023-01-09 16:10:00,W2,disputed,56.97,critical,0.4227,Critical (>30%)
PAY000082622,ORD000105763,S00020,88346.57,68354.86,1,19991.71,2024-04-24 23:01:00,W17,disputed,22.63,critical,0.4224,High (15-30%)
